Reference_Genome	source	accession	mpspades_detection	megahit_detection
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1604478	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_39695672	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_46526361	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_1706530	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_36246769	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_338234	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_39974882	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_47330883	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_32920440	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_42291051	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_25015456	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_27816359	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_38519553	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_28547256	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_1604478	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_18745788	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_24202527	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_50385232	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_48637419	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_47666951	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1204142	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_49404687	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_24246545	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_45429890	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_42928946	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_44145168	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_4564438	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_25102805	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_49220036	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_201152	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_41319309	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1604478	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_49015371	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_40253899	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_27398717	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_48637419	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_39852168	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_49594537	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_44672370	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_36228108	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_40642735	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_32487853	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_40967680	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_23995730	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_33039567	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_201152	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_1604478	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_18742980	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_24202527	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_48465332	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_32465141	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_35096892	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_37983574	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_40991226	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_60_3205150	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_3428100	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_556579	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_247446	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_119175	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_80_1481621	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_370098	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_370098	detected	detected
RNODE_423_length_1943_cov_28.57781	de novo	mmseqs_5_1290283	detected	detected
RNODE_429_length_2129_cov_51.99106	de novo	mmseqs_30_454732	detected	detected
RNODE_429_length_2129_cov_51.99106	de novo	mmseqs_20_454732	detected	detected
RNODE_429_length_2129_cov_51.99106	de novo	mmseqs_5_454732	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_50_12012794	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_34687209	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_17027262	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_1133166	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_1297648	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_356075	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_681009	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_753168	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_48696922	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1126522	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_33791013	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1395614	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_1432250	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_50274929	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_1084135	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_40143949	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_34687209	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_12012794	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_1728775	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_6076961	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_1357643	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1005912	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_483425	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1126522	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1084135	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_805129	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_356075	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_650149	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_649841	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_417079	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_45592606	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_781141	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1358278	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1390213	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_50356288	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_781141	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_1348727	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_431243	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_18886961	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_1172597	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_39894339	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_37551679	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1181613	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_50129878	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_642753	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_1316375	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_50_1153665	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_32882795	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_43581950	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_44739951	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_46069527	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_40684638	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_6943099	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_37080513	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_44187449	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_40843745	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_43657566	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_37835496	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_34222533	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_37296165	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_36489015	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1908939	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_28711182	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_35916256	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_33265751	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_40659967	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_48613420	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_48908557	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_36493902	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_41233841	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_891482	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_50260948	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_46802403	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_4333846	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_44678907	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_48159114	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_40418440	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_43170399	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_38691542	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_48270066	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_7272528	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_44616466	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_33876188	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_28111044	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_28404614	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_44969744	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_50339304	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_36512481	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_760418	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_39608001	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_46875622	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_16333670	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_5264168	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_36189173	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_35130206	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_38821355	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_17306908	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_41034037	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_41505158	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_49686877	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_50_43079521	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_1944322	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_39095454	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_40887263	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_41234671	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_18044612	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_23756967	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_40133638	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_34186669	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_36916619	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_34189759	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_46649440	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_22698353	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_34259601	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_41733059	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_49503134	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_45718108	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_47770814	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_44919079	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_37746298	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_47376982	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_1092002	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_35750841	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_47376982	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_35832821	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_4274010	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_18657098	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_46000693	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_34963636	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_4979107	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_47675102	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_49934911	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_48768564	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_35832821	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_38534523	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_34078537	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_31082850	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_46374684	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_35559912	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_35869458	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_5624194	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_3565634	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_50129904	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_33426990	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_43176832	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_49551606	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_39616860	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_49574546	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_50_35705503	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_40018096	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_47326392	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_49640859	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_45961908	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_35776195	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_40358975	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_37710079	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_22825600	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_35776195	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_37853984	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_45467439	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1937692	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_35867580	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_40291061	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_48903885	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_37854056	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_44753783	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_36182034	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_49138358	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_47438915	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_20345102	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_18777657	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_47571992	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_50243535	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_24366854	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_48398041	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_46352161	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_24419878	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_18848153	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_27808021	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_15651928	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_49185641	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_18578718	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_49128414	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_42338662	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_37854056	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_40763529	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1983526	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_50_1254926	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_40_677235	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_1254926	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_699552	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_30_38787301	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_25_44999026	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_20_38787301	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_644033	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_1431994	detected	detected
RNODE_32_length_11742_cov_6.79514	de novo	mmseqs_5_6136234	detected	detected
RNODE_524_length_1679_cov_2.99128	de novo	mmseqs_5_1687283	undetected_genomad_plasx	undetected_genomad_plasx
RNODE_374_length_1862_cov_9.75489	de novo	mmseqs_20_234410	undetected_genomad	undetected_genomad
RNODE_374_length_1862_cov_9.75489	de novo	mmseqs_5_757534	undetected_genomad	undetected_genomad
RNODE_415_length_2147_cov_6.45506	de novo	mmseqs_5_33023774	undetected_genomad_plasx	undetected_genomad
RNODE_551_length_4193_cov_74.72016	de novo	mmseqs_20_234410	undetected_genomad	undetected_genomad
RNODE_277_length_1592_cov_15.82548	de novo	mmseqs_5_260690	undetected_genomad_plasx	undetected_genomad_plasx
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_40_44663484	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_37310679	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1674717	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_39896844	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_24524579	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_1315220	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_27810222	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_40_1527424	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_40_48400166	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_40_33063216	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_40_417079	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_613045	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_781141	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1358278	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1294674	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1285579	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1548604	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_40939620	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_33078982	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_1362216	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_781141	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_49342877	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_854268	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_1736685	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_37981240	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_39029786	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_50356288	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_775782	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_49648710	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_1114306	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_40296934	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_18886961	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_1285579	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_854268	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_431243	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_44501452	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_48143756	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_1172597	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_20_50129853	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_37551679	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_1300705	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_974212	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_39894339	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_1736685	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_49594720	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_5_34999586	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_43719184	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_30_37003377	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_43719184	undetected_genomad	undetected_genomad
RNODE_534_length_10183_cov_8.47628	de novo	mmseqs_25_43382148	undetected_genomad	undetected_genomad
